employee,reader,start,end,delta,success
1,10,2022-06-19T19:12:12Z,2022-06-19T19:12:12Z,258.8822ms,True
1,1,2022-06-19T19:12:12Z,2022-06-19T19:12:12Z,274.3469ms,True
1,9,2022-06-19T19:12:12Z,2022-06-19T19:12:13Z,269.1874ms,True
1,11,2022-06-19T19:12:13Z,2022-06-19T19:12:13Z,277.605ms,True
1,16,2022-06-19T19:12:13Z,2022-06-19T19:12:13Z,266.1038ms,True
1,12,2022-06-19T19:12:13Z,2022-06-19T19:12:14Z,927.2722ms,True
1,10,2022-06-19T19:12:14Z,2022-06-19T19:12:14Z,308.5081ms,True
1,3,2022-06-19T19:12:14Z,2022-06-19T19:12:15Z,295.9216ms,True
1,4,2022-06-19T19:12:15Z,2022-06-19T19:12:15Z,320.7479ms,True
1,2,2022-06-19T19:12:15Z,2022-06-19T19:12:15Z,294.0907ms,True
1,8,2022-06-19T19:12:15Z,2022-06-19T19:12:16Z,257.3797ms,True
1,9,2022-06-19T19:12:16Z,2022-06-19T19:12:16Z,271.9324ms,True
1,10,2022-06-19T19:12:16Z,2022-06-19T19:12:16Z,266.9148ms,True
1,1,2022-06-19T19:12:16Z,2022-06-19T19:12:16Z,293.5304ms,True
1,9,2022-06-19T19:12:16Z,2022-06-19T19:12:17Z,275.1668ms,True
1,11,2022-06-19T19:12:17Z,2022-06-19T19:12:17Z,272.7973ms,True
1,16,2022-06-19T19:12:17Z,2022-06-19T19:12:17Z,254.4468ms,True
1,12,2022-06-19T19:12:17Z,2022-06-19T19:12:18Z,291.8274ms,True
1,10,2022-06-19T19:12:18Z,2022-06-19T19:12:18Z,271.8109ms,True
1,3,2022-06-19T19:12:18Z,2022-06-19T19:12:18Z,295.7786ms,True
1,4,2022-06-19T19:12:18Z,2022-06-19T19:12:18Z,281.1761ms,True
1,2,2022-06-19T19:12:18Z,2022-06-19T19:12:19Z,274.027ms,True
1,8,2022-06-19T19:12:19Z,2022-06-19T19:12:19Z,257.7411ms,True
1,9,2022-06-19T19:12:19Z,2022-06-19T19:12:19Z,258.9412ms,True
1,10,2022-06-19T19:12:19Z,2022-06-19T19:12:19Z,264.4181ms,True
1,1,2022-06-19T19:12:19Z,2022-06-19T19:12:20Z,265.9884ms,True
1,9,2022-06-19T19:12:20Z,2022-06-19T19:12:20Z,279.4747ms,True
1,11,2022-06-19T19:12:20Z,2022-06-19T19:12:20Z,270.5765ms,True
1,16,2022-06-19T19:12:20Z,2022-06-19T19:12:21Z,254.9244ms,True
1,12,2022-06-19T19:12:21Z,2022-06-19T19:12:21Z,264.973ms,True
1,10,2022-06-19T19:12:21Z,2022-06-19T19:12:21Z,309.2455ms,True
1,3,2022-06-19T19:12:21Z,2022-06-19T19:12:21Z,266.2461ms,True
1,4,2022-06-19T19:12:21Z,2022-06-19T19:12:22Z,263.1002ms,True
1,2,2022-06-19T19:12:22Z,2022-06-19T19:12:22Z,271.4492ms,True
1,8,2022-06-19T19:12:22Z,2022-06-19T19:12:22Z,256.0473ms,True
1,9,2022-06-19T19:12:22Z,2022-06-19T19:12:22Z,251.6086ms,True
1,10,2022-06-19T19:12:22Z,2022-06-19T19:12:23Z,256.5665ms,True
1,1,2022-06-19T19:12:23Z,2022-06-19T19:12:23Z,277.0383ms,True
1,9,2022-06-19T19:12:23Z,2022-06-19T19:12:23Z,275.9044ms,True
1,11,2022-06-19T19:12:23Z,2022-06-19T19:12:24Z,281.323ms,True
1,16,2022-06-19T19:12:24Z,2022-06-19T19:12:24Z,257.6751ms,True
1,12,2022-06-19T19:12:24Z,2022-06-19T19:12:24Z,269.6723ms,True
1,10,2022-06-19T19:12:24Z,2022-06-19T19:12:24Z,270.703ms,True
1,3,2022-06-19T19:12:24Z,2022-06-19T19:12:25Z,297.8859ms,True
1,4,2022-06-19T19:12:25Z,2022-06-19T19:12:25Z,271.5168ms,True
1,2,2022-06-19T19:12:25Z,2022-06-19T19:12:25Z,286.4195ms,True
1,8,2022-06-19T19:11:52Z,2022-06-19T19:11:52Z,301.042ms,True
1,9,2022-06-19T19:11:52Z,2022-06-19T19:11:53Z,282.3225ms,True
1,10,2022-06-19T19:11:53Z,2022-06-19T19:11:53Z,255.291ms,True
1,1,2022-06-19T19:11:53Z,2022-06-19T19:11:53Z,254.8378ms,True
1,9,2022-06-19T19:11:53Z,2022-06-19T19:11:53Z,259.8679ms,True
1,11,2022-06-19T19:11:53Z,2022-06-19T19:11:54Z,250.0229ms,True
1,16,2022-06-19T19:11:54Z,2022-06-19T19:11:54Z,259.199ms,True
1,12,2022-06-19T19:11:54Z,2022-06-19T19:11:54Z,263.7717ms,True
1,10,2022-06-19T19:11:54Z,2022-06-19T19:11:54Z,262.1734ms,True
1,3,2022-06-19T19:11:54Z,2022-06-19T19:11:55Z,273.7266ms,True
1,4,2022-06-19T19:11:55Z,2022-06-19T19:11:55Z,270.5142ms,True
1,2,2022-06-19T19:11:55Z,2022-06-19T19:11:55Z,269.4443ms,True
1,8,2022-06-19T19:11:55Z,2022-06-19T19:11:55Z,255.719ms,True
1,9,2022-06-19T19:11:55Z,2022-06-19T19:11:56Z,252.0267ms,True
1,10,2022-06-19T19:11:56Z,2022-06-19T19:11:56Z,252.8038ms,True
1,1,2022-06-19T19:11:56Z,2022-06-19T19:11:56Z,268.7373ms,True
1,9,2022-06-19T19:11:56Z,2022-06-19T19:11:56Z,280.0929ms,True
1,11,2022-06-19T19:11:56Z,2022-06-19T19:11:57Z,275.2458ms,True
1,16,2022-06-19T19:11:57Z,2022-06-19T19:11:57Z,254.5666ms,True
1,12,2022-06-19T19:11:57Z,2022-06-19T19:11:57Z,271.8863ms,True
